"","X.Sand","X.Silt","X.Clay","K","Mg","Ca","Na_Axial","Na_Radial","Al","N","C","C.N_ratio","P","pH_H2O","pH_KCl","Bulk_density","Litter_fresh_mass","Grass_fresh_mass","Grass_moisture"
"ABG_10",0.78568136201604,-0.774127428272179,-0.704044970344145,-0.466293284506334,-0.156703867003241,-0.245320957167346,-0.124319870039906,-0.091593993342251,-0.822723518673733,-0.49323684473134,-0.36969221218904,0.495762106546689,-0.280986763770947,0.327669672122535,0.608898433979978,0.809692137013188,-0.232494237913874,-0.587687237890744,-0.608661693700878
"ABG_11",0.215424731286652,-0.38408350306265,-0.0434570015571717,-1.17401337631314,-0.559094441582393,-0.805282906790211,0.0624816804287524,0.144811876966925,2.35083069641769,-0.042428975890868,-0.056957364748742,-0.223223715933949,-0.562522535260378,-1.39836493877646,-0.760530728823239,-0.091942910975243,1.33086177106506,-1.00059888680335,-0.91319003839791
"ABG_12",0.585636120686519,-0.574109245523955,-0.527322896797386,-0.561762553046447,-0.452409686330399,-0.261145185182398,-1.129961619316,-1.03818868008566,-0.264515787041114,0.678863614253886,0.586554725176486,-0.606154641199294,-0.885844063958249,-0.11691500038175,0.14570915832595,0.226084758848389,1.83049101035783,-0.591251801211021,-0.616111791228999
"ABG_13",0.669413046638326,-0.590979250976858,-0.659568356453908,-0.345111241349957,-0.558437186392538,-0.819105485093128,-0.935530803095319,-0.970702679836622,-0.140345904041356,-0.49323684473134,-1.03726082884044,-1.92264475088819,-0.642292135387447,-0.509195593767886,-0.216786796533727,0.485378799234599,-0.704848436979913,0.276159851037048,0.247048715884125
"ABG_14",0.350508972709664,0.0963990099145936,-0.698658362913378,-0.513198797303602,-0.376087049764031,0.244344462717277,-0.952418646292792,-0.896477933724719,-0.45528035853756,-0.042428975890868,0.183607902513026,0.47397465738061,-0.662758678639616,1.76603184787169,1.95818893262432,0.457681295152541,-0.0750428307865458,-0.748099003773848,-0.661603039151769
"ABG_15",0.246041020375208,-0.246035862082617,-0.217330749561543,-0.460200685831834,-0.466113545943588,-0.269600538994789,-0.630444415866195,-0.582713212707113,0.264444907574554,-0.132590549658962,-0.5140313725461,-1.29443996514705,-0.521789122482618,0.11845335564993,0.306818471596915,-0.341218528230475,-0.525081083791448,2.3733952556046,2.70712798592139
"ABG_16",-2.15146777988787,2.04170728981668,1.99592810301678,2.52708588465218,3.64764317989476,3.42380196782205,2.44322200288381,2.7909841217938,-0.825617372474004,1.94112564700721,1.57287232094973,-1.17816297651405,1.00231940607597,0.0923013160908548,-0.05567748326276,-2.11698818707663,0.321685081832368,-0.568675449280633,-0.741046738936718
"ABG_18",-0.456597246091225,1.55078606667238,-0.549238422141209,0.323511285712204,0.0269959473623779,0.213144935809651,-0.440579476003886,-0.354592822514651,-0.855703561272145,0.318217319181509,0.291862272780821,-0.373481987697687,2.49757510151925,-0.509195593767886,-0.398034773963564,-0.307628210440643,-0.262248825223407,0.273783404196079,0.0358563579580513
"ABG_19",-2.31141912648529,1.88501063629522,2.41287029485295,0.341885233217585,0.0709119163895119,0.248492421592935,-0.468371120174129,-0.39901119557498,-0.794640906181774,2.48209508961577,2.82381171071092,-0.19855868070428,1.89166558647086,-0.796868028917716,-0.679976072187755,-1.36326852160317,-0.683772253302202,2.28546586695931,1.61976440909233
"ABG_2",0.693189195688521,-0.956179106507242,-0.38334281163318,-0.732964661439116,-0.446745080323073,-0.650281038676036,-0.0631220795126893,-0.180884387989018,0.330115044044281,-0.853883139803717,-0.748582508126324,0.811680119454849,-0.452304709140564,-0.561499672886036,-0.982056034570819,0.94719624214999,-0.750720091485612,-0.157546082028163,-0.13918787488295
"ABG_3",0.615835020391933,-0.763534056143377,-0.415383046513869,-0.0799212403980984,-0.249714886680336,0.29401707161682,-0.840493182967303,-0.808896385667631,-0.632974199103209,-0.49323684473134,-0.387734607233672,0.43039975904845,-0.201279728125886,2.28907263905321,1.89777294014771,0.963107478988739,1.32714243928288,0.315371544736578,0.771179409742226
"ABG_4",0.394255226462872,-0.667374508791226,-0.110478455975929,-0.227408659938597,-0.421499272388923,-0.659382220038864,-0.000420282926067736,-0.0906534188538791,0.131077964281116,-0.944044713571811,-0.904949931846473,0.619224317035313,-0.784960913741764,-0.0384588817045228,-0.720253400505498,0.807727865777264,-0.553595908717555,0.115748085153944,0.128559106117137
"ABG_5",-0.877066290588182,0.998011484061445,0.669417333984319,0.792150968372093,0.180502947808118,-0.261490006642968,2.11420250022415,1.84830971609251,2.02503101627136,0.859186761790075,0.586554725176486,-1.00757188591283,0.855392921372878,-0.953780266272171,-1.50566130270146,-1.17233367953817,-1.11397410732877,-1.22874013624233,-1.33258999251454
"ABG_6",-0.917641550559083,0.312305614050014,1.33752213527696,2.18235791545651,0.730105066189161,0.731348533151872,0.271372481146081,0.123581397210314,-0.185557609243753,-0.132590549658962,0.0813676639267744,0.503024591054547,0.257916287682997,0.484581909476988,0.00473850921385302,-1.61666910845384,-0.754439423267783,-0.540157873306644,-0.614513149065278
"ABG_7",0.746831129306733,-0.798679586498924,-0.614533807584586,-0.700629279521981,-0.230165043031378,-0.158635664745432,-0.167307862839612,-0.158144248890036,-0.457453322014382,-0.763721566035622,-0.495988977501468,1.39161075038801,-1.0488671603349,0.170757434768082,-0.377896109804694,0.903980995304131,2.01893676717812,-0.596004908775315,-0.59013129792623
"ABG_8",0.734035436395288,-0.382630778819684,-0.954283979579378,-0.439426593060681,-0.100189462061956,-0.0162200111884925,-0.0631569515557843,-0.0924322895995737,-0.941880670037951,-0.853883139803717,-0.502003109183012,1.92828688921645,-0.163774371737816,1.0076227006585,1.53527698528804,0.623079331494992,-0.26968748878775,0.342701004231259,0.480401276742895
"ABG_9",0.677340731653885,-0.746486774131623,-0.538095006075331,-0.466060914700795,-0.638999536142073,-1.00868537819094,0.924847645906883,0.756604136722586,1.27519358003198,-1.03420628733991,-1.10943040901898,0.150275413872418,-0.297489120541779,-1.37221289921738,-0.760530728823239,0.786120242354334,-0.903212382131396,0.0361363673932234,0.227098354347118
