"","Albizia_antunesiana","Baikiaea_plurijuga","Baphia_bequaertii","Baphia_massaiensis","Bobgunnia_madagascariensis","Brachystegia_spiciformis","Brachystegia_tamarindoides","Bridelia_mollis","Burkea_africana","Combretum_collinum","Combretum_zeyheri","Diospyros_kirkii","Diplorhynchus_condylocarpon","Erythrophleum_africanum","Guibourtia_coleosperma","Hexalobus_monopetalus","Julbernardia_paniculata","Ochna_pulchra","Pericopsis_angolensis","Philenoptera_nelsii","Pseudolachnostylis_maprouneifolia","Pteleopsis_anisoptera","Pterocarpus_angolensis","Strychnos_pungens","Strychnos_spinosa","Terminalia_brachystemma","Terminalia_sericea","Ximenia_americana","Ziziphus_abyssinica"
"ABG_1",0.307328494,0,0,0,0.830151593,0,0,0,5.254799816,1.398260753,0,0.502851467,8.558458249,5.030480105,0,0,16.772182738,0,1.283305824,0,1.257786172,0,0.784810879,0.015387733,1.243689066,0.964960326,0,0,0.013619131
"ABG_10",0.570776769,0,0,0,0,3.074329624,0,0,9.851242707,0.381869709,0.282768495,0,0.127231122,0,0.031464438,0,31.711075997,0,0.187383758,0,0.072083038,0.005028066,0.367886682,0,0.062358753,0.942501325,0.09309929,0,0
"ABG_11",0.01511978,0.090576347,0.128476054,0.075267511,0,39.994211042,0,0,3.608763164,0.094689142,0.277918954,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191772242,0,0,0,0
"ABG_12",0,34.177300091,0.438155565,1.922816724,0,20.076527859,0,0,7.500204776,0.842656052,0.329309189,0,0,1.592146298,0.013964901,0.003912899,0,0.127210532,0,4.507279568,0.004700737,0.036698527,0,0.083091031,0,0,0.081027411,0.017938861,0
"ABG_13",0,54.27903425,0,1.334124367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.379247953,0,0,0,0,0,0,0,0,0
"ABG_14",0,0,0.495537037,0,0,0,0,0,0.501514841,0,0,0,1.092389961,0,0,0,14.090810766,0,1.605805792,1.639449528,0.651330313,0.732904987,8.882286038,0,0.07451488,0,0.006606946,0,0
"ABG_15",0,74.346840418,0,0.261216117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.702357038,0,0,0,0,0,0,0,0,0
"ABG_16",0.053954411,0,0,0,0,0,30.685795726,0.029814058,0,1.780610395,0.066145973,4.158531191,3.701366931,0,0,0,0.732650338,0.007865902,0.042015186,0,0.071978251,0.134480629,0,0,0.010965816,0.409447324,0.252682679,0.008173967,0
"ABG_18",0,0,0,0,0,0,0,0,4.049382323,0,0,0,0,0,0,0,0.079839505,0,0,0,0,0,0,0,0,0.017457271,0,0,0
"ABG_19",0,0,0,0,0,0,0,0,0.331119882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039522358,0,0
"ABG_2",0,0,0,0.006351671,0,0,0,0,21.528871637,2.075155351,0.221014852,0,0.060521063,0,0.014215702,0,5.021527805,0.008476043,0.006869715,6.776722438,0.015526979,0,0,0,0.013390432,0.278716107,0.034433646,0,0
"ABG_3",0,0,0,0.321273493,0.883804595,0.010993724,0,0,5.404270747,0.139574182,0.140157609,0,0.094777042,0,0,0,27.396874029,0.193083703,0.042903715,2.364097079,0.454449561,0.103701089,0.565751148,0,0.137776969,0.05993383,0.282766846,0.027141391,0
"ABG_4",0,6.184981419,3.283327195,0.573356788,0.013901127,26.596421527,0,0,5.795568697,1.355919328,0.065128767,0,0.009924039,0,0.018429582,0,0,0.112963345,0,2.255962798,0.007112795,1.100721584,0.00344195,0,0,0,0.222887603,0,0
"ABG_5",0,0,0,0.005210161,0,21.138081702,0,0,0.417513716,0.004915183,0,0,0.277087792,0,0,0,4.957657004,0,2.178044122,0.146196815,0,1.110362502,0.124870235,0,0.04377345,0.026280888,0.012238967,0,0
"ABG_6",0.574965277,0,0,0.008297112,0.012712692,7.578913763,0,0,0.129742062,0.165437744,0,0,0.221476529,1.026522873,0,0,24.429198193,0,0.613581892,1.396461263,0.065993771,0.850748659,0,0.043505075,0.02098345,0,0.046317417,0,0
"ABG_7",0.079560082,0,0,0.037292093,0,0.898956173,0,0.139109922,3.986340454,3.53602887,0.055773758,0,0.007619592,0.351378077,0.556217367,0,0,0,0,0.658261436,0.123666932,0,0,0.024126262,0.033615068,0,2.836057359,0.047783097,0
"ABG_8",0,0,0,0.004686441,0,0,0,0,18.752281489,0.681110947,0.01022189,0,0.069417868,8.375238744,0,0,10.410108248,0,0.052934982,0,0.431317159,0,0.067012039,0,0.100385886,0.110179771,1.068780098,0,0
"ABG_9",0,70.320001868,0,1.306320816,0,0.337984525,0,0,0,0,0,0,0,0,0,0,3.938584872,0,0,1.230199607,0,0,0,0,0,0,0,0,0
